test-auc-mean,test-auc-std,train-auc-mean,train-auc-std,Best Iteration,base_score,eta,eval_metric,gamma,max_depth,min_child_weight,objective,scale_pos_weight,tree_method
0.854731666667,0.00539342651341,0.897759333333,0.00215008857699,19,0.932777311092,0.3,auc,0,8,0,binary:logistic,0.0720672427472,hist
0.856944,0.00481832086935,0.867675,0.00346411729978,25,0.932777311092,0.3,auc,1,8,0,binary:logistic,0.0720672427472,hist
0.855449333333,0.00588615178949,0.86098,0.00296877494375,25,0.932777311092,0.3,auc,2,8,0,binary:logistic,0.0720672427472,hist
0.853320333333,0.00553304631786,0.924923333333,0.00130005777649,22,0.932777311092,0.3,auc,0,10,0,binary:logistic,0.0720672427472,hist
0.857184,0.00500919361441,0.868654,0.00380818075551,27,0.932777311092,0.3,auc,1,10,0,binary:logistic,0.0720672427472,hist
0.855449333333,0.00588615178949,0.86098,0.00296877494375,25,0.932777311092,0.3,auc,2,10,0,binary:logistic,0.0720672427472,hist
0.856957333333,0.00590414522932,0.892546,0.00257450590729,35,0.932777311092,0.3,auc,0,6,1,binary:logistic,0.0720672427472,hist
0.857747,0.00598131596446,0.866564666667,0.00327042273856,27,0.932777311092,0.3,auc,1,6,1,binary:logistic,0.0720672427472,hist
0.855191666667,0.00615403966694,0.860841333333,0.00287403854455,25,0.932777311092,0.3,auc,2,6,1,binary:logistic,0.0720672427472,hist
0.856366,0.00599718439492,0.896423,0.00273609734232,26,0.932777311092,0.3,auc,0,8,1,binary:logistic,0.0720672427472,hist
0.857388,0.00518056142389,0.869125,0.00227910084609,34,0.932777311092,0.3,auc,1,8,1,binary:logistic,0.0720672427472,hist
0.855191666667,0.00615403966694,0.860841333333,0.00287403854455,25,0.932777311092,0.3,auc,2,8,1,binary:logistic,0.0720672427472,hist
0.854867,0.00493097502191,0.899689,0.00286900551876,24,0.932777311092,0.3,auc,0,10,1,binary:logistic,0.0720672427472,hist
0.857429666667,0.00535440356674,0.868237333333,0.00317868592696,28,0.932777311092,0.3,auc,1,10,1,binary:logistic,0.0720672427472,hist
0.855191666667,0.00615403966694,0.860841333333,0.00287403854455,25,0.932777311092,0.3,auc,2,10,1,binary:logistic,0.0720672427472,hist
