test-auc-mean,test-auc-std,train-auc-mean,train-auc-std,Best Iteration,base_score,eta,eval_metric,gamma,max_depth,min_child_weight,objective,scale_pos_weight,tree_method
0.858568666667,0.00123423426554,0.893922,0.0013475340441,945,0.932777311092,0.01,auc,0,6,0,binary:logistic,0.0720672427472,hist
0.856778,0.00102950214505,0.865153666667,0.000861713925203,1035,0.932777311092,0.01,auc,1,6,0,binary:logistic,0.0720672427472,hist
0.854696666667,0.0015752386768,0.859426666667,0.00113851433407,929,0.932777311092,0.01,auc,2,6,0,binary:logistic,0.0720672427472,hist
0.857834666667,0.00133325699781,0.918373666667,0.00272649486011,968,0.932777311092,0.01,auc,0,8,0,binary:logistic,0.0720672427472,hist
0.857408,0.000588333238905,0.866273666667,0.000348507611905,1386,0.932777311092,0.01,auc,1,8,0,binary:logistic,0.0720672427472,hist
0.854694,0.00158803673341,0.859467333333,0.0010400840778,981,0.932777311092,0.01,auc,2,8,0,binary:logistic,0.0720672427472,hist
0.855728333333,0.00106974150564,0.939024333333,0.0016851022389,926,0.932777311092,0.01,auc,0,10,0,binary:logistic,0.0720672427472,hist
0.857188,0.000845130759114,0.866290333333,0.00081240972148,1158,0.932777311092,0.01,auc,1,10,0,binary:logistic,0.0720672427472,hist
0.854639666667,0.00165108496315,0.859461666667,0.00104248943506,981,0.932777311092,0.01,auc,2,10,0,binary:logistic,0.0720672427472,hist
0.858623,0.00160944980247,0.889882,0.00104925497378,1082,0.932777311092,0.01,auc,0,6,1,binary:logistic,0.0720672427472,hist
0.857017,0.00092416484821,0.865151666667,0.000765326219479,1096,0.932777311092,0.01,auc,1,6,1,binary:logistic,0.0720672427472,hist
0.854628333333,0.00164731748272,0.859387666667,0.00112760286547,1009,0.932777311092,0.01,auc,2,6,1,binary:logistic,0.0720672427472,hist
0.857756666667,0.00140984404181,0.900164333333,0.00143744967062,1006,0.932777311092,0.01,auc,0,8,1,binary:logistic,0.0720672427472,hist
0.857225,0.000664516365487,0.865809,0.000509678983937,1095,0.932777311092,0.01,auc,1,8,1,binary:logistic,0.0720672427472,hist
0.854676666667,0.0015608592363,0.859511333333,0.0010509203374,1036,0.932777311092,0.01,auc,2,8,1,binary:logistic,0.0720672427472,hist
0.857239333333,0.00103964940672,0.905897666667,0.000769548063621,954,0.932777311092,0.01,auc,0,10,1,binary:logistic,0.0720672427472,hist
0.857109,0.000786961667851,0.865956,0.000843761024619,1172,0.932777311092,0.01,auc,1,10,1,binary:logistic,0.0720672427472,hist
0.854593333333,0.00165844753376,0.859503,0.0010541242811,1205,0.932777311092,0.01,auc,2,10,1,binary:logistic,0.0720672427472,hist
0.857963,0.000913245129561,0.895226,0.00158507623371,96,0.932777311092,0.1,auc,0,6,0,binary:logistic,0.0720672427472,hist
0.857505,0.000228509664274,0.866845333333,0.00111864004736,94,0.932777311092,0.1,auc,1,6,0,binary:logistic,0.0720672427472,hist
0.855292,0.00178805163982,0.860157333333,0.00125680662351,86,0.932777311092,0.1,auc,2,6,0,binary:logistic,0.0720672427472,hist
0.857726333333,0.00105682364765,0.920993666667,0.00186359872886,99,0.932777311092,0.1,auc,0,8,0,binary:logistic,0.0720672427472,hist
0.857242333333,0.000835394650583,0.867,0.00102694530851,96,0.932777311092,0.1,auc,1,8,0,binary:logistic,0.0720672427472,hist
0.855292,0.00178805163982,0.860157333333,0.00125680662351,86,0.932777311092,0.1,auc,2,8,0,binary:logistic,0.0720672427472,hist
0.855154333333,0.00188342601542,0.922217,0.00125937206575,76,0.932777311092,0.1,auc,0,10,0,binary:logistic,0.0720672427472,hist
0.857294333333,0.000538287614158,0.867114,0.00114131707543,94,0.932777311092,0.1,auc,1,10,0,binary:logistic,0.0720672427472,hist
0.855292,0.00178805163982,0.860157333333,0.00125680662351,86,0.932777311092,0.1,auc,2,10,0,binary:logistic,0.0720672427472,hist
0.858703,0.0012972627593,0.887662,0.000994376521579,93,0.932777311092,0.1,auc,0,6,1,binary:logistic,0.0720672427472,hist
0.857342666667,0.00076990273556,0.866581666667,0.000920970985187,98,0.932777311092,0.1,auc,1,6,1,binary:logistic,0.0720672427472,hist
0.855188333333,0.00109882887152,0.859957333333,0.000769132122735,82,0.932777311092,0.1,auc,2,6,1,binary:logistic,0.0720672427472,hist
0.857712666667,0.00142928754591,0.901227333333,0.00141964933072,101,0.932777311092,0.1,auc,0,8,1,binary:logistic,0.0720672427472,hist
0.858036333333,0.000587719509819,0.867445333333,0.0010244134365,131,0.932777311092,0.1,auc,1,8,1,binary:logistic,0.0720672427472,hist
0.854696,0.00176671691752,0.859597666667,0.00104302647245,82,0.932777311092,0.1,auc,2,8,1,binary:logistic,0.0720672427472,hist
0.856788666667,0.00116802520901,0.907282333333,0.00114372675447,98,0.932777311092,0.1,auc,0,10,1,binary:logistic,0.0720672427472,hist
0.857699666667,0.000776898248736,0.867463666667,0.00117323493906,99,0.932777311092,0.1,auc,1,10,1,binary:logistic,0.0720672427472,hist
